Saffron Detection Run — 20260526_134507
Mode            : real
Scenes          : 1111
Total detected  : 6096
Mean detected   : 5.5
Mean avg score  : 0.4014
Highest score   : 0.7591
Best scene      : Image_151_jpg.rf.spV9r9WrtXpibKOiJoFo.jpg
Threshold       : 0.45
Ensemble weights: RF=0.35, CNN=0.35, HSV=0.2, Depth=0.1

Scene                             Det   AvgScore   MaxScore
  360_F_540830240_0R478fmmvGBG      1     0.5226     0.5226
  360_F_599296170_bGcuUTM11GIj      5     0.5073     0.5568
  360_F_621209261_xH6r2d46XAiJ      0     0.0000     0.0000
  360_F_812075769_pyVk9oRR2QqT      0     0.0000     0.0000
  36100-36100-image-36100-saff     29     0.5300     0.5925
  36_jpg.rf.AcEiNZoE3hgSrxpHUA      3     0.5902     0.6151
  36_jpg.rf.CjLOSm5DG03NPTmy5S      0     0.0000     0.0000
  36_jpg.rf.oLvnCC9hN6UKlMd0kA      0     0.0000     0.0000
  370255243_jpg.rf.QRQQvzXgHMz      2     0.4885     0.4958
  38_jpg.rf.2SWpUVbDmiKHHpAwIb      9     0.5983     0.6659
  38_jpg.rf.8hfqM9qHmV8NXhrZKV      8     0.5876     0.6697
  38_jpg.rf.u6oXIemO8nA66hUUdY      7     0.5894     0.6557
  3917990cd15c234798ac3cd2c1b3      0     0.0000     0.0000
  39_jpg.rf.3LagrUglFiWb2THkJ7      0     0.0000     0.0000
  39_jpg.rf.DwbMuoIhO1SQ4QIEsC      0     0.0000     0.0000
  39_jpg.rf.SelocAnrswyaYFxVXJ      0     0.0000     0.0000
  3_jpg.rf.ehTmU6xm4tuMY9HA46P     11     0.5310     0.5919
  3d9042ea7dff353d5e121827290a      1     0.5054     0.5054
  40_jpg.rf.M0bWR0Hoz1Uzo2hEhi      2     0.5407     0.6014
  41_jpg.rf.fTcsz8LIfk0oxVpyhp      3     0.5969     0.6475
  41_jpg.rf.wRXIhSgB7UhyHmVRMI      4     0.5549     0.6212
  42_jpg.rf.IkUmsFH963W9dZYK0i      2     0.6248     0.6384
  42_jpg.rf.cG3r0oJz7iGcVyQmcn      4     0.5347     0.6077
  42_jpg.rf.iqI6IU2r4s22vz0YcX      4     0.5692     0.5996
  43_jpg.rf.4YvrEU4m5MzJavcPoV      0     0.0000     0.0000
  43_jpg.rf.NB13A2rWzvG7Vm1bLF      1     0.5659     0.5659
  43_jpg.rf.PYsolYl0KVPGKLKFL2      2     0.5341     0.5450
  44_jpg.rf.Be3xg4sGQJNR9KSikM     23     0.6058     0.6777
  44_jpg.rf.hl0H7aT6NBwUXIIYWl     24     0.5946     0.6750
  44_jpg.rf.kax17a852IdlS03AYC     24     0.6093     0.6643
  45_jpg.rf.bondT3QKDPG4MjhMCF      8     0.5699     0.6534
  45_jpg.rf.chShuw5NnAq1IgqqdF      7     0.5725     0.6182
  45_jpg.rf.gAo3nTOZ7TrelmYnVM      9     0.5724     0.6533
  469841c152a954c2de48b7f699f6      1     0.4546     0.4546
  46_jpg.rf.QycRNA6lfWzdSuufyG     12     0.5405     0.5975
  46_jpg.rf.hKaBjRd8uxWh7LzAUu     18     0.6081     0.6901
  46_jpg.rf.xBogKQZhQGCRyXztFD     16     0.6187     0.6970
  47_jpg.rf.KRsbLG0Ac9p7fNAWkU     25     0.5831     0.6945
  48-486076_saffron-is-a-spice      0     0.0000     0.0000
  48_jpg.rf.KVIGYhpEU2T9Az7uRw      1     0.5348     0.5348
  48_jpg.rf.P8kBtqWyGTvmPuG4fI      0     0.0000     0.0000
  48_jpg.rf.qAgF701W2QRwE57XtA      1     0.5682     0.5682
  4_jpg.rf.HikkwFOSQ7Ap1kHVEpV     21     0.5863     0.6938
  5011b234c3f9b17fc42c0657f0a0      1     0.5567     0.5567
  50_jpg.rf.h2L3SzeetyzhgisQdu     17     0.5829     0.6781
  56d560539102c4b95a396951cf9b      8     0.5521     0.5869
  584a2dfd23eb29a95da98ae9ff96      0     0.0000     0.0000
  5_jpg.rf.OtL9krcUdtHjIbT5EpG      6     0.4957     0.5005
  6-EXPERIENCE_webp.rf.5TKMIjU      0     0.0000     0.0000
  61JDmhv9dVL-_AC_UF894-1000_Q     10     0.5227     0.6416
  61xwtg987NL-_AC_UF894-1000_Q      0     0.0000     0.0000
  62cbab8defabcfeac0a581887ced      9     0.5257     0.5569
  63726d3abeda02abda52d7ddf17a      0     0.0000     0.0000
  644609bf49f0c8cf2fecb5012462      1     0.4792     0.4792
  650_jpg.rf.bDMyzlg2Ewn4ya2Hq      1     0.5757     0.5757
  68330aab6e96e95af747a549dd7a      0     0.0000     0.0000
  6f2a35007f17092c77a8731517a3      6     0.5280     0.5746
  7499156_orig_jpg.rf.kRpFruUg      4     0.5604     0.5836
  75e79bea8412e2f02c83ebdb1e02      1     0.4548     0.4548
  7_jpg.rf.Ng2ruWBGR4nkrwnhyBT      1     0.6486     0.6486
  7c37f62ed4221bc153be99a3cb5c      0     0.0000     0.0000
  7ec3adeebee0118e522fddc5aad3      7     0.4597     0.4800
  84ca5523ae2d3ec1c4bb359c0f81      8     0.5477     0.6178
  85c55e84e87dac5ab72886668690      1     0.4780     0.4780
  882505a419b5b39cea5e81990784      0     0.0000     0.0000
  898c43ab1cf438f8de6323f867dc      1     0.5148     0.5148
  8_jpg.rf.CUF8xqk56VY4LAabiGG      0     0.0000     0.0000
